fid,GbCity,City_EN,GbProv,Prov_EN,xcoord,ycoord
"89","3303",Wenzhou,33,Zhejiang,120.430409624979,27.9003946836138
"90","3304",Jiaxing,33,Zhejiang,120.752202461663,30.6550605193012
"91","3305",Huzhou,33,Zhejiang,119.8718003957,30.7466564320544
"92","3306",Shaoxing,33,Zhejiang,120.627588514048,29.7103743453579
"93","3307",Jinhua,33,Zhejiang,119.95209383696,29.1147364041448
"94","3308",Quzhou,33,Zhejiang,118.675644250492,28.9346692696988
"95","3309",Zhoushan,33,Zhejiang,122.191972927443,30.0969838769349
"96","3310",Taizhou,33,Zhejiang,121.092579044069,28.7753442552018
"97","3311",Lishui,33,Zhejiang,119.509799435131,28.1981100150396
"98","3401",Hefei,34,Anhui,117.244455209102,31.9936089098534
"99","3402",Wuhu,34,Anhui,118.3278051574,31.0730619697389
"100","3403",Bengbu,34,Anhui,117.327348687499,33.1117729512648
"101","3404",Huainan,34,Anhui,116.730968930388,32.7581924540634
"102","3405",Maanshan,34,Anhui,118.619051553801,31.5352988578582
"103","3406",Huaibei,34,Anhui,116.737238998763,33.7214272706554
"104","3407",Tongling,34,Anhui,117.894405765109,30.9449545514615
"105","3408",Anqing,34,Anhui,116.594601465229,30.6103002665433
"106","3410",Huangshan,34,Anhui,118.072838381237,29.9038774171801
"107","3411",Chuzhou,34,Anhui,118.097438136694,32.5449490109203
"108","3412",Fuyang,34,Anhui,115.700616290426,32.9173536844317
"109","3413",Suzhou,34,Anhui,117.206454166309,33.8616335217705
"110","3414",Chaohu,34,Anhui,117.78207843568,31.4639102470703
"111","3415",Liuan,34,Anhui,116.31259458627,31.7572074190172
"112","3416",Bozhou,34,Anhui,116.180079636979,33.4337016514309
"113","3417",Chizhou,34,Anhui,117.367397309737,30.2838609984462
"114","3418",Xuancheng,34,Anhui,118.853545672935,30.6877207330319
"115","3501",Fuzhou,35,Fujian,119.170076681325,26.0539154958494
"116","3502",Xiamen,35,Fujian,118.107915068264,24.683358136896
"117","3503",Putian,35,Fujian,118.880871156058,25.454032909835
"118","3504",Sanming,35,Fujian,117.395462064109,26.2983158258487
"119","3505",Quanzhou,35,Fujian,118.250221757311,25.2114223291662
"120","3506",Zhangzhou,35,Fujian,117.439002960498,24.3674391423712
"121","3507",Nanping,35,Fujian,118.142885451506,27.3404467002915
"122","3508",Longyan,35,Fujian,116.737992869292,25.2911176554127
"123","3509",Ningde,35,Fujian,119.471510779107,26.9747273500504
"124","3601",Nanchang,36,Jiangxi,116.023607789102,28.662567722639
"125","3602",Jingdezhen,36,Jiangxi,117.269580148805,29.3078975652964
"126","3603",Pingxiang,36,Jiangxi,113.9003125897,27.5159175028335
"127","3604",Jiujiang,36,Jiangxi,115.439700815877,29.3259092570894
"128","3605",Xinyu,36,Jiangxi,114.851113443275,27.8472269348672
"129","3606",Yingtan,36,Jiangxi,117.10648713541,28.2266181286161
"130","3607",Ganzhou,36,Jiangxi,115.270904726145,25.7073223712923
"131","3608",Jian,36,Jiangxi,114.822432381217,26.9729225409749
"132","3609",Yichun,36,Jiangxi,114.972200896833,28.308007618288
"133","3610",Fuzhou,36,Jiangxi,116.433148139818,27.5105183869098
"134","3611",Shangrao,36,Jiangxi,117.469236231886,28.7745476972187
"135","3701",Jinan,37,Shandong,117.087516699503,36.7320253584258
"136","3702",Qingdao,37,Shandong,120.143831641244,36.4601287172453
"137","3703",Zibo,37,Shandong,118.054016133444,36.6010611030425
"138","3704",Zaozhuang,37,Shandong,117.392282192388,34.9196945249523
"139","3705",Dongying,37,Shandong,118.570423137965,37.5847201380011
"140","3706",Yantai,37,Shandong,120.806011359853,37.2448014983594
"141","3707",Weifang,37,Shandong,119.075681383182,36.5389308537216
"142","3708",Jining,37,Shandong,116.732909433371,35.3768444174406
"143","3709",Taian,37,Shandong,117.03552567791,36.0006109930213
"144","3710",Weihai,37,Shandong,121.979874519711,37.1231499242517
"145","3711",Rizhao,37,Shandong,119.132276955809,35.588073746766
"146","3712",Laiwu,37,Shandong,117.650221984119,36.2862647567256
"147","3713",Linyi,37,Shandong,118.280164473744,35.3111134680289
"148","3714",Dezhou,37,Shandong,116.65307696744,37.2355268732584
"149","3715",Liaocheng,37,Shandong,115.882204659565,36.4586972683561
"150","3716",Binzhou,37,Shandong,117.829346564769,37.497673978797
"151","3717",Heze,37,Shandong,115.689367822976,35.1546589448309
"152","4101",Zhengzhou,41,Henan,113.471929357754,34.6260993878326
"153","4102",Kaifeng,41,Henan,114.534869880459,34.6084589419875
"154","4103",Luoyang,41,Henan,112.028039324129,34.2897815604143
"155","4104",Pingdingshan,41,Henan,113.013401717607,33.793940386197
"156","4105",Anyang,41,Henan,114.349876404653,35.8784166307761
"157","4106",Hebi,41,Henan,114.305407679386,35.725576176681
"158","4107",Xinxiang,41,Henan,114.091555656659,35.2671832471097
"159","4108",Jiaozuo,41,Henan,112.896053239543,35.1064885520588
"160","4109",Puyang,41,Henan,115.279637528414,35.8118419606833
"161","4110",Xuchang,41,Henan,113.708699649223,34.0727464540284
"162","4111",Luohe,41,Henan,113.902649667393,33.6568987318936
"163","4112",Sanmenxia,41,Henan,111.106538615406,34.3627850865655
"164","4113",Nanyang,41,Henan,112.280826900305,33.0449806693834
"165","4114",Shangqiu,41,Henan,115.696356650578,34.2904054048793
"166","4115",Xinyang,41,Henan,114.882241931804,32.0814677201284
"167","4116",Zhoukou,41,Henan,114.877115499211,33.7249778328542
"168","4117",Zhumadian,41,Henan,114.147793065576,32.924313915657
"169","4201",Wuhan,42,Hubei,114.342429370516,30.6258553381635
"170","4202",Huangshi,42,Hubei,115.02349709798,29.92625809326
"171","4203",Shiyan,42,Hubei,110.440936865565,32.4585990541036
"172","4205",Yichang,42,Hubei,111.136003893783,30.7491054487673
"173","4206",Xiangfan,42,Hubei,111.937007463725,31.9340926196558
"174","4207",Ezhou,42,Hubei,114.752727290819,30.3311735261274
"175","4208",Jingmen,42,Hubei,112.609175943336,31.0711769651464
"176","4209",Xiaogan,42,Hubei,113.880346033013,31.1200803658652
"177","4210",Jingzhou,42,Hubei,112.570935950496,29.9954289319202
"178","4211",Huanggang,42,Hubei,115.338900417614,30.7163413994853
"179","4212",Xianning,42,Hubei,114.174666393902,29.6255775130413
"180","4213",Suizhou,42,Hubei,113.423759849897,31.8299995530811
"181","4228",Enshitujiazumiaozu,42,Hubei,109.548983440848,30.1912595894113
